,fips id,State,Sobriety Checkpoints: Intervention Implemented?,Sobriety Checkpoints: Benefit $/year,Sobriety Checkpoints: Cost $/year,Sobriety Checkpoints (Fines Excluded): Benefit $/year,Sobriety Checkpoints (Fines Excluded): Cost $/year,Sobriety Checkpoints: # of Fatalities Reduced,Sobriety Checkpoints: Percent Reduction in Fatalities,Sobriety Checkpoints: # of Injuries Reduced,Sobriety Checkpoints: Percent Reduction in Injuries ,Bicycle Helmet: Intervention Implemented?,Bicycle Helmet: Benefit $/year,Bicycle Helmet: Cost $/year,Bicycle Helmet: (Fines Excluded): Benefit $/year,Bicycle Helmet (Fines Excluded): Cost $/year,Bicycle Helmet: # of Fatalities Reduced,Bicycle Helmet: Percent Reduction in Fatalities,Bicycle Helmet: # of Injuries Reduced,Bicycle Helmet: Percent Reduction in Injuries,Motorcycle Helmet: Intervention Implemented?,Motorcycle Helmet: Benefit $/year,Motorcycle Helmet: Cost $/year,Motorcycle Helmet (Fines Excluded): Benefit $/year,Motorcycle Helmet (Fines Excluded): Cost $/year,Motorcycle Helmet: # of Fatalities Reduced ,Motorcycle Helmet: Percent Reduction in Fatalities ,Motorcycle Helmet: # of Injuries Reduced ,Motorcycle Helmet: Percent Reduction in Injuries,Red Light Camera: Intervention Implemented?,Red Light Camera: Benefit $/year,Red Light Camera: Cost $/year,Red Light Camera (Fines Excluded): Benefit $/year,Red Light Camera (Fines Excluded): Cost $/year,Red Light Camera: # of Fatalities Reduced ,Red Light Camera: Percent Reduction in Fatalities ,Red Light Camera: # of Injuries Reduced ,Red Light Camera: Percent Reduction in Injuries,Speed Camera: Intervention Implemented?,Speed Camera: Benefit $/year,Speed Camera: Cost $/year,Speed Camera (Fines Excluded): Benefit $/year,Speed Camera (Fines Excluded): Cost $/year,Speed Camera: # of Fatalities Reduced ,Speed Camera: Percent Reduction in Fatalities ,Speed Camera: # of Injuries Reduced ,Speed Camera: Percent Reduction in Injuries,Alcohol Interlocks: Intervention Implemented?,Alcohol Interlocks: Benefit $/year,Alcohol Interlocks: Cost $/year,Alcohol Interlocks (Fines Excluded): Benefit $/year,Alcohol Interlocks (Fines Excluded): Cost $/year,Alcohol Interlocks: # of Fatalities Reduced ,Alcohol Interlocks: Percent Reduction in Fatalities ,Alcohol Interlocks: # of Injuries Reduced ,Alcohol Interlocks: Percent Reduction in Injuries,Saturation Patrols: Intervention Implemented?,Saturation Patrols: Benefit $/year,Saturation Patrols: Cost $/year,Saturation Patrols (Fines Excluded): Benefit $/year,Saturation Patrols (Fines Excluded): Cost $/year,Saturation Patrols: # of Fatalities Reduced,Saturation Patrols: Percent Reduction in Fatalities ,Saturation Patrols: # of Injuries Reduced,Saturation Patrols: Percent Reduction in Injuries,Primary Enforcement Seat Belt Law: Intervention Implemented?,Primary Enforcement Seat Belt Law: Benefit $/year,Primary Enforcement Seat Belt Law: Cost $/year, Primary Enforcement Seat Belt Law (Fines Excluded): Benefit $/year,Primary Enforcement Seat Belt Law (Fines Excluded): Cost $/year,Primary Enforcement Seat Belt Law: # of Fatalities Reduced,Primary Enforcement Seat Belt Law: Percent Reduction in Fatalities ,Primary Enforcement Seat Belt Law: # of Injuries Reduced,Primary Enforcement Seat Belt Law: Percent Reduction in Injuries,License Plate Impound: Intervention Implemented?,License Plate Impound: Benefit $/year,License Plate Impound: Cost $/year, License Plate Impound (Fines Excluded): Benefit $/year,License Plate Impound (Fines Excluded): Cost $/year,License Plate Impound: # of Fatalities Reduced,License Plate Impound: Percent Reduction in Fatalities ,License Plate Impound:  # of Injuries Reduced,License Plate Impound: Percent Reduction in Injuries,Limits on Diversion: Intervention Implemented?,Limits on Diversion: Benefit $/year,Limits on Diversion: Cost $/year,Limits on Diversion (Fines Excluded): Benefit $/year,Limits on Diversion (Fines Excluded): Cost $/year,Limits on Diversion: # of Fatalities Reduced,Limits on Diversion: Percent Reduction in Fatalities ,Limits on Diversion: # of Injuries Reduced,Limits on Diversion: Percent Reduction in Injuries,Seat Belt Enforcement Campaign: Intervention Implemented?,Seat Belt Enforcement Campaign: Benefit $/year,Seat Belt Enforcement Campaign: Cost $/year, Seat Belt Enforcement Campaign (Fines Excluded): Benefit $/year,Seat Belt Enforcement Campaign (Fines Excluded): Cost $/year,Seat Belt Enforcement Campaign: # of Fatalities Reduced,Seat Belt Enforcement Campaign: Percent Reduction in Fatalities ,Seat Belt Enforcement Campaign: # of Injuries Reduced,Seat Belt Enforcement Campaign: Percent Reduction in Injuries,Vehicle Impoundment: Intervention Implemented?,Vehicle Impoundment: Benefit $/year,Vehicle Impoundment: Cost $/year,Vehicle Impoundment (Fines Excluded): Benefit $/year,Vehicle Impoundment (Fines Excluded): Cost $/year,Vehicle Impoundment: # of Fatalities Reduced,Vehicle Impoundment: Percent Reduction in Fatalities ,Vehicle Impoundment: # of Injuries Reduced,Vehicle Impoundment: Percent Reduction in Injuries,In Person Renewal: Intervention Implemented?,In Person Renewal: Benefit $/year,In Person Renewal: Cost $/year,In Person Renewal (Fines Excluded): Benefit $/year,In Person Renewal (Fines Excluded): Cost $/year,In Person Renewal: # of Fatalities Reduced,In Person Renewal: Percent Reduction in Fatalities ,In Person Renewal: # of Injuries Reduced,In Person Renewal: Percent Reduction in Injuries,Increased Seat Belt Fine: Intervention Implemented?,Increased Seat Belt Fine: Benefit $/year,Increased Seat Belt Fine: Cost $/year,Increased Seat Belt Fine (Fines Excluded): Benefit $/year,Increased Seat Belt Fine (Fines Excluded): Cost $/year,Increased Seat Belt Fine: # of Fatalities Reduced,Increased Seat Belt Fine: Percent Reduction in Fatalities ,Increased Seat Belt Fine: # of Injuries Reduced,Increased Seat Belt Fine: Percent Reduction in Injuries
,24,Maryland                                                                                                                                                                                                                                                       ,Yes,50946000,2944000,50946000,4369000,14,3,1245,3,Yes,6532000,309000,6532000,309000,1,0.20,206,0.20,Yes,176881000,1164000,176881000,1204000,24,5,6269,5,Yes,38964000,-1014000,38964000,6221000,11,2,934,2,Yes,61085000,-18001000,61085000,7586000,17,3,1437,3,Yes,7205000,139000,7205000,139000,3,1,104,1,No,77023000,2314000,77023000,2885000,31,6,1114,6,Yes,82231000,3531000,82231000,5840000,21,4,2165,4,Yes,8106000,-2756000,8106000,346000,3,1,117,1,No,3302000,5732000,3302000,12115000,1,0,48,0,No,63436000,1461000,63436000,1930000,16,3,1670,3,Yes,9126000,2177000,9126000,11225000,4,1,132,1,No,23908000,11487000,23908000,11487000,6,1,589,1,No,84581000,-2098000,84581000,0,21,4,2227,4
,25,Massachusetts                                                                                                                                                                                                                                                  ,Yes,29905000,3217000,29905000,4828000,8,3,687,3,Yes,5209000,324000,5209000,324000,1,0.32,154,0.32,Yes,128485000,1569000,128485000,1647000,16,5,4281,5,No,16822000,-1152000,16822000,7171000,4,1,380,1,No,28652000,-20693000,28652000,8741000,8,3,634,3,Yes,21679000,148000,21679000,148000,8,3,295,3,No,45178000,2558000,45178000,3835000,17,5,615,5,No,55188000,3880000,55188000,6490000,13,4,1367,4,Yes,24389000,-1488000,24389000,274000,9,3,332,3,Yes,9936000,2954000,9936000,6581000,4,1,135,1,No,42574000,1642000,42574000,2173000,10,3,1055,3,No,27460000,1306000,27460000,6447000,10,3,374,3,Yes,16586000,9098000,16586000,9098000,4,1,384,1,No,56765000,-2372000,56765000,0,13,4,1406,4
,26,Michigan                                                                                                                                                                                                                                                       ,No,70997000,4986000,70997000,7401000,23,2,2033,2,No,20647000,481000,20647000,481000,4,0.42,746,0.42,Yes,260791000,2364000,260791000,2501000,40,4,10474,4,No,81418000,-5862000,81418000,22185000,27,3,2292,3,No,82060000,-71711000,82060000,27479000,27,3,2270,3,Yes,42173000,125000,42173000,125000,20,2,738,2,No,103982000,7321000,103982000,13780000,50,5,1820,5,Yes,147387000,5207000,147387000,9121000,43,5,4522,5,Yes,47444000,-4808000,47444000,439000,23,2,830,2,Yes,19329000,10151000,19329000,20950000,9,1,338,1,No,113698000,2280000,113698000,3076000,33,4,3489,4,No,53419000,3572000,53419000,18882000,26,3,935,3,No,44213000,1199000,44213000,1199000,14,1,1275,1,No,151598000,-3555000,151598000,0,44,5,4651,5
,27,Minnesota                                                                                                                                                                                                                                                      ,No,36523000,2851000,36523000,4158000,11,3,955,3,No,6930000,294000,6930000,294000,1,0.24,232,0.24,No,98163000,1639000,98163000,1766000,14,3,3670,3,No,47744000,-7573000,47744000,24294000,14,3,1226,3,No,36161000,-82393000,36161000,30308000,11,3,912,3,Yes,23793000,133000,23793000,133000,10,2,373,2,No,54474000,8753000,54474000,18366000,24,6,855,6,Yes,81220000,4092000,81220000,7301000,22,5,2283,5,Yes,26767000,-3962000,26767000,412000,12,3,420,3,No,10905000,9741000,10905000,18743000,5,1,171,1,No,62655000,1341000,62655000,1772000,17,4,1761,4,Yes,30137000,3007000,30137000,15768000,13,3,473,3,Yes,20478000,1232000,20478000,1232000,6,1,540,1,No,83540000,-1924000,83540000,0,22,5,2348,5
,28,Mississippi                                                                                                                                                                                                                                                    ,Yes,30822000,1040000,30822000,1769000,11,2,970,2,No,2640000,185000,2640000,185000,1,0.16,103,0.16,Yes,74844000,522000,74844000,536000,12,2,3211,2,No,38195000,-4034000,38195000,13229000,14,2,1182,2,No,41983000,-44565000,41983000,16487000,15,2,1279,2,No,12741000,108000,12741000,108000,7,1,252,1,No,43908000,3389000,43908000,4466000,24,4,868,4,Yes,119206000,530000,119206000,1711000,38,6,3998,6,No,14333000,-1793000,14333000,212000,8,1,283,1,Yes,5839000,2072000,5839000,6199000,3,0,115,0,No,91959000,543000,91959000,784000,29,5,3084,5,Yes,16138000,1426000,16138000,7276000,9,1,319,1,Yes,18328000,628000,18328000,628000,6,1,580,1,No,122612000,-1072000,122612000,0,39,6,4112,6
,29,Missouri                                                                                                                                                                                                                                                       ,Yes,68496000,2441000,68496000,3911000,22,3,1983,3,No,4940000,314000,4940000,314000,1,0.12,180,0.12,Yes,179402000,1171000,179402000,1222000,27,3,7263,3,No,54895000,-6891000,54895000,23012000,18,2,1562,2,No,112367000,-77098000,112367000,28656000,38,5,3142,5,Yes,19096000,120000,19096000,120000,9,1,339,1,No,100061000,5483000,100061000,10083000,49,6,1774,6,No,155193000,2137000,155193000,4519000,46,6,4810,6,No,21483000,-4826000,21483000,422000,11,1,381,1,No,8752000,6292000,8752000,17093000,4,0,155,0,No,119720000,1220000,119720000,1704000,35,4,3711,4,Yes,24188000,3568000,24188000,18879000,12,1,429,1,Yes,34773000,1215000,34773000,1215000,11,1,1014,1,No,159627000,-2164000,159627000,0,47,6,4948,6
,30,Montana                                                                                                                                                                                                                                                        ,No,22165000,510000,22165000,754000,7,4,658,4,No,0,87000,0,87000,0,0.00,0,0.00,No,48279000,572000,48279000,629000,8,4,1988,4,No,13492000,-4211000,13492000,12888000,5,3,394,3,No,23468000,-44354000,23468000,16115000,8,4,674,4,Yes,12766000,113000,12766000,113000,6,3,234,3,No,32091000,3478000,32091000,3948000,16,8,589,8,No,36062000,508000,36062000,903000,11,6,1145,6,No,14362000,-603000,14362000,154000,7,4,264,4,No,5851000,1044000,5851000,2604000,3,2,107,2,No,27819000,305000,27819000,385000,8,4,884,4,No,16171000,611000,16171000,2821000,8,4,297,4,No,6559000,257000,6559000,257000,2,1,196,1,No,37092000,-359000,37092000,0,11,6,1178,6
,31,Nebraska                                                                                                                                                                                                                                                       ,Yes,14653000,859000,14653000,1310000,5,3,412,3,No,1443000,133000,1443000,133000,0,0.00,51,0.00,Yes,26938000,497000,26938000,519000,4,2,1070,2,No,14778000,-5263000,14778000,16317000,5,3,409,3,No,12403000,-55931000,12403000,20390000,4,2,337,2,Yes,14224000,115000,14224000,115000,7,4,243,4,No,21596000,3704000,21596000,7285000,10,5,369,5,No,39894000,878000,39894000,1609000,11,6,1204,6,Yes,16002000,-1906000,16002000,234000,8,4,274,4,No,6519000,2742000,6519000,7145000,3,2,111,2,No,30775000,475000,30775000,623000,9,5,929,5,Yes,18017000,1521000,18017000,7763000,9,5,308,5,No,8361000,332000,8361000,332000,3,2,237,2,No,41033000,-663000,41033000,0,12,6,1239,6
,32,Nevada                                                                                                                                                                                                                                                         ,Yes,21250000,1606000,21250000,2271000,6,2,557,2,No,4620000,176000,4620000,176000,1,0.39,154,0.39,Yes,98304000,730000,98304000,763000,14,5,3670,5,No,25506000,-1594000,25506000,6223000,8,3,657,3,No,28609000,-19945000,28609000,7698000,9,4,724,4,No,6597000,128000,6597000,128000,3,1,104,1,No,31574000,2034000,31574000,2103000,14,5,499,5,No,40926000,2188000,40926000,3268000,11,4,1153,4,No,7422000,-1852000,7422000,257000,3,1,117,1,Yes,3024000,4728000,3024000,9069000,1,0,48,0,No,31571000,832000,31571000,1051000,8,3,889,3,No,8357000,1514000,8357000,7667000,4,2,132,2,No,17021000,2573000,17021000,2573000,5,2,450,2,No,42095000,-980000,42095000,0,11,4,1186,4
,33,New Hampshire                                                                                                                                                                                                                                                  ,Yes,13665000,768000,13665000,1090000,4,3,347,3,Yes,0,104000,0,104000,0,0.00,0,0.00,No,59344000,572000,59344000,613000,8,6,2141,6,No,8770000,-640000,8770000,3050000,3,2,219,2,No,25060000,-9303000,25060000,3746000,7,5,615,5,Yes,3958000,128000,3958000,128000,2,2,61,2,No,20245000,1071000,20245000,1922000,9,7,311,7,No,24642000,723000,24642000,1245000,6,5,672,5,No,4453000,-476000,4453000,168000,2,2,68,2,No,1814000,1325000,1814000,2652000,1,1,28,1,No,19010000,399000,19010000,506000,5,4,519,4,No,5014000,552000,5014000,2432000,2,2,77,2,No,6705000,97000,6705000,97000,2,2,172,2,No,25346000,-475000,25346000,0,7,5,692,5
,34,New Jersey                                                                                                                                                                                                                                                     ,Yes,46090000,5790000,46090000,7947000,12,2,1078,2,Yes,10183000,441000,10183000,441000,2,0.36,309,0.36,Yes,158751000,2156000,158751000,2239000,21,4,5428,4,Yes,39433000,-1077000,39433000,7857000,11,2,905,2,No,58550000,-22051000,58550000,9543000,16,3,1318,3,Yes,22726000,139000,22726000,139000,9,2,313,2,No,70153000,3654000,70153000,5714000,27,5,965,5,Yes,94257000,9165000,94257000,12660000,23,4,2379,4,No,25567000,-4219000,25567000,451000,10,2,352,2,No,10416000,11430000,10416000,21042000,4,1,143,1,No,72712000,2877000,72712000,3588000,17,3,1835,3,Yes,28786000,3208000,28786000,16834000,11,2,396,2,No,37100000,2017000,37100000,2017000,10,2,875,2,No,96950000,-3176000,96950000,0,23,4,2447,4
,35,New Mexico                                                                                                                                                                                                                                                     ,Yes,28990000,927000,28990000,1436000,10,3,876,3,Yes,5457000,144000,5457000,144000,1,0.29,206,0.29,No,71514000,505000,71514000,529000,11,3,2982,3,No,56021000,-3739000,56021000,12026000,19,5,1664,5,No,43775000,-40750000,43775000,15001000,15,4,1279,4,Yes,2316000,117000,2316000,117000,1,0,43,0,No,41807000,3369000,41807000,3736000,22,6,784,6,Yes,59083000,890000,59083000,1715000,18,5,1906,5,No,2606000,-1812000,2606000,231000,1,0,49,0,Yes,1062000,2724000,1062000,6928000,1,0,20,0,No,45579000,503000,45579000,671000,14,4,1471,4,Yes,2934000,1458000,2934000,7417000,2,1,55,1,Yes,9409000,285000,9409000,285000,3,1,286,1,No,60772000,-750000,60772000,0,19,5,1961,5
,36,New York                                                                                                                                                                                                                                                       ,Yes,86106000,10276000,86106000,15036000,23,2,2055,2,Yes,30062000,863000,30062000,863000,5,0.42,926,0.42,Yes,405738000,3671000,405738000,3844000,53,4,14067,4,Yes,164532000,-4612000,164532000,21777000,45,4,3853,4,No,135851000,-66568000,135851000,26758000,38,3,3123,3,Yes,39997000,142000,39997000,142000,16,1,564,1,No,130338000,8610000,130338000,14239000,51,4,1839,4,Yes,181234000,13601000,181234000,21315000,44,4,4663,4,No,44996000,-5759000,44996000,575000,18,2,635,2,Yes,18332000,14204000,18332000,27241000,7,1,259,1,No,139809000,5019000,139809000,6588000,34,3,3597,3,No,50663000,4304000,50663000,22784000,20,2,715,2,Yes,65938000,4910000,65938000,4910000,17,1,1586,1,No,186412000,-7007000,186412000,0,45,4,4796,4
,37,North Carolina                                                                                                                                                                                                                                                 ,Yes,107561000,3795000,107561000,6156000,35,3,3126,3,Yes,16227000,482000,16227000,482000,3,0.23,592,0.23,Yes,361363000,1653000,361363000,1716000,55,4,14602,4,Yes,79182000,-4976000,79182000,19253000,26,2,2262,2,No,165497000,-61861000,165497000,23826000,56,4,4649,4,Yes,57216000,123000,57216000,123000,28,2,1025,2,No,156229000,5576000,156229000,7570000,77,6,2798,6,Yes,216055000,3172000,216055000,6999000,64,5,6717,5,No,64368000,-8882000,64368000,688000,32,2,1153,2,No,26224000,12070000,26224000,31768000,13,1,470,1,No,166671000,1824000,166671000,2603000,49,4,5182,4,No,72474000,6411000,72474000,34333000,36,3,1298,3,No,49722000,620000,49722000,620000,16,1,1455,1,No,222228000,-3476000,222228000,0,65,5,6909,5
,38,North Dakota                                                                                                                                                                                                                                                   ,Yes,12315000,401000,12315000,568000,4,4,355,4,No,708000,74000,708000,74000,0,0.00,26,0.00,No,28419000,294000,28419000,310000,4,4,1147,4,No,3611000,-5021000,3611000,14999000,1,1,102,1,No,14257000,-52022000,14257000,18777000,5,5,397,5,No,7892000,115000,7892000,115000,4,4,139,4,No,18026000,3205000,18026000,9307000,9,9,317,9,No,19166000,390000,19166000,661000,6,6,591,6,Yes,8878000,-700000,8878000,162000,4,4,156,4,No,3617000,1367000,3617000,3141000,2,2,64,2,No,14785000,244000,14785000,299000,4,4,456,4,No,9996000,681000,9996000,3196000,5,5,176,5,No,2537000,176000,2537000,176000,1,1,74,1,No,19713000,-246000,19713000,0,6,6,608,6
,39,Ohio                                                                                                                                                                                                                                                           ,Yes,101329000,5394000,101329000,8217000,33,3,2909,3,No,7820000,556000,7820000,556000,2,0.19,283,0.19,No,323268000,2900000,323268000,3088000,49,5,12997,5,No,79669000,-5781000,79669000,22567000,26,2,2248,2,No,104735000,-72338000,104735000,27917000,35,3,2905,3,No,47952000,123000,47952000,123000,23,2,842,2,No,148218000,6457000,148218000,14630000,72,7,2603,7,No,189608000,6388000,189608000,10963000,55,5,5830,5,Yes,53946000,-6003000,53946000,507000,26,2,948,2,No,21978000,10411000,21978000,23809000,11,1,386,1,No,146269000,2688000,146269000,3619000,43,4,4497,4,No,60739000,4400000,60739000,23394000,29,3,1067,3,Yes,44958000,2765000,44958000,2765000,14,1,1300,1,No,195026000,-4156000,195026000,0,57,5,5997,5
,40,Oklahoma                                                                                                                                                                                                                                                       ,Yes,59611000,1437000,59611000,2364000,19,3,1729,3,No,6342000,222000,6342000,222000,1,0.15,232,0.15,No,147165000,819000,147165000,878000,23,3,5963,3,No,98786000,-6269000,98786000,19856000,33,5,2817,5,No,65420000,-67604000,65420000,24786000,22,3,1834,3,Yes,25369000,113000,25369000,113000,12,2,452,2,No,86965000,4992000,86965000,7153000,43,6,1548,6,Yes,119667000,1141000,119667000,2643000,35,5,3717,5,No,28541000,-2342000,28541000,254000,14,2,508,2,No,11628000,3096000,11628000,8438000,6,1,207,1,No,92315000,750000,92315000,1055000,27,4,2867,4,No,32135000,1818000,32135000,9391000,16,2,572,2,Yes,26301000,876000,26301000,876000,8,1,769,1,No,123086000,-1365000,123086000,0,36,5,3823,5
,41,Oregon                                                                                                                                                                                                                                                         ,No,20360000,2035000,20360000,2982000,6,2,579,2,Yes,5038000,214000,5038000,214000,1,0.32,180,0.32,Yes,73271000,1056000,73271000,1109000,11,3,2905,3,Yes,17234000,-2901000,17234000,10758000,6,2,482,2,Yes,33193000,-34969000,33193000,13336000,11,3,912,3,Yes,6462000,129000,6462000,129000,3,1,113,1,No,29659000,3351000,29659000,4232000,14,4,518,4,Yes,49294000,2557000,49294000,4091000,14,4,1500,4,No,7270000,-2373000,7270000,294000,4,1,127,1,Yes,2962000,4664000,2962000,10153000,1,0,52,0,No,38027000,1045000,38027000,1357000,11,3,1157,3,Yes,8185000,1882000,8185000,9663000,4,1,143,1,No,17416000,726000,17416000,726000,5,2,499,2,No,50702000,-1394000,50702000,0,15,5,1543,5
,42,Pennsylvania                                                                                                                                                                                                                                                   ,Yes,118646000,6028000,118646000,9144000,36,3,3206,3,Yes,15725000,572000,15725000,572000,3,0.23,540,0.23,No,444591000,3195000,444591000,3398000,64,5,17049,5,Yes,93499000,-5562000,93499000,22510000,29,2,2481,2,No,255519000,-71469000,255519000,27808000,81,6,6662,6,Yes,45221000,129000,45221000,129000,20,2,738,2,No,175780000,6563000,175780000,15885000,79,6,2869,6,Yes,231305000,7411000,231305000,12461000,64,5,6709,5,No,50874000,-7983000,50874000,664000,23,2,830,2,No,20726000,14025000,20726000,31822000,9,1,338,1,No,178435000,3012000,178435000,4039000,49,4,5176,4,No,57280000,5810000,57280000,31039000,26,2,935,2,No,62776000,1775000,62776000,1775000,19,1,1709,1,No,237913000,-4587000,237913000,0,65,5,6901,5
,44,Rhode Island                                                                                                                                                                                                                                                   ,No,7681000,632000,7681000,889000,2,3,203,3,Yes,1537000,96000,1537000,96000,0,0.00,51,0.00,No,30734000,387000,30734000,403000,4,6,1147,6,Yes,3943000,-107000,3943000,1369000,1,2,102,2,No,10123000,-3573000,10123000,1648000,3,5,258,5,No,2173000,138000,2173000,138000,1,2,35,2,No,11343000,558000,11343000,699000,5,8,181,8,Yes,9659000,685000,9659000,1102000,3,5,273,5,No,2444000,-279000,2444000,168000,1,2,39,2,No,996000,849000,996000,1769000,0,0,16,0,No,7452000,367000,7452000,452000,2,3,211,3,No,2752000,432000,2752000,1736000,1,2,44,2,No,2769000,138000,2769000,138000,1,2,74,2,No,9935000,-378000,9935000,0,3,5,281,5
,45,South Carolina                                                                                                                                                                                                                                                 ,Yes,80739000,2052000,80739000,3196000,27,3,2446,3,No,9543000,251000,9543000,251000,2,0.25,360,0.25,No,185302000,974000,185302000,1027000,29,4,7722,4,No,58786000,-3253000,58786000,12020000,20,2,1752,2,No,92338000,-39112000,92338000,14903000,33,4,2706,4,Yes,18871000,118000,18871000,118000,10,1,356,1,No,116031000,3602000,116031000,4577000,61,8,2189,8,Yes,134798000,1408000,134798000,3263000,41,5,4360,5,No,21230000,-2517000,21230000,276000,11,1,401,1,No,8649000,4561000,8649000,10310000,5,1,163,1,No,103987000,909000,103987000,1286000,32,4,3363,4,No,23903000,1953000,23903000,10103000,12,1,451,1,No,21176000,771000,21176000,771000,7,1,646,1,No,138650000,-1685000,138650000,0,42,5,4484,5
,46,South Dakota                                                                                                                                                                                                                                                   ,Yes,11406000,423000,11406000,625000,4,3,333,3,No,1402000,80000,1402000,80000,0,0.00,51,0.00,No,50666000,364000,50666000,394000,8,6,2064,6,No,5088000,-4726000,5088000,14212000,2,1,146,1,No,11249000,-49187000,11249000,17786000,4,3,317,3,No,7272000,104000,7272000,104000,4,3,130,3,No,16633000,2796000,16633000,7254000,8,6,298,6,No,23654000,365000,23654000,692000,7,5,739,5,No,8181000,-789000,8181000,150000,4,3,147,3,No,3333000,1262000,3333000,3194000,2,1,60,1,No,18247000,251000,18247000,317000,5,4,570,4,No,9211000,721000,9211000,3460000,5,4,165,4,No,6120000,67000,6120000,67000,2,1,180,1,No,24329000,-297000,24329000,0,7,5,760,5
,47,Tennessee                                                                                                                                                                                                                                                      ,Yes,69591000,2577000,69591000,4142000,23,2,2055,2,Yes,2773000,327000,2773000,327000,1,0.10,103,0.10,Yes,252613000,1347000,252613000,1424000,39,4,10397,4,Yes,52795000,-4584000,52795000,16664000,18,2,1533,2,No,77113000,-54471000,77113000,20674000,27,3,2201,3,Yes,37311000,119000,37311000,119000,19,2,677,2,No,101321000,4765000,101321000,6028000,51,5,1839,5,Yes,186352000,2194000,186352000,4731000,56,5,5889,5,No,41974000,-4177000,41974000,378000,21,2,762,2,Yes,17101000,5612000,17101000,14987000,9,1,310,1,No,143757000,1266000,143757000,1782000,43,4,4543,4,No,47260000,3111000,47260000,16401000,24,2,858,2,No,36836000,449000,36836000,449000,12,1,1096,1,No,191676000,-2305000,191676000,0,57,6,6057,6
,48,Texas                                                                                                                                                                                                                                                          ,No,274538000,9997000,274538000,16276000,85,3,7612,3,No,30740000,1360000,30740000,1360000,6,0.20,1081,0.20,No,810065000,4429000,810065000,4652000,120,4,31728,4,Yes,219144000,-15416000,219144000,55218000,70,2,5970,2,No,425535000,-181252000,425535000,68548000,138,5,11390,5,Yes,57797000,124000,57797000,124000,27,1,973,1,No,404896000,15667000,404896000,20067000,188,6,6813,6,Yes,531884000,12615000,531884000,22790000,150,5,15820,5,No,65021000,-14239000,65021000,1037000,30,1,1094,1,No,26490000,17465000,26490000,48906000,12,0,446,0,No,410310000,5447000,410310000,7516000,116,4,12204,4,No,73209000,10161000,73209000,54730000,34,1,1232,1,No,104786000,2544000,104786000,2544000,32,1,2927,1,Yes,547081000,-9243000,547081000,0,154,5,16272,5
,49,Utah                                                                                                                                                                                                                                                           ,Yes,11626000,1209000,11626000,1897000,4,2,355,2,No,4726000,212000,4726000,212000,1,0.42,180,0.42,No,36293000,604000,36293000,634000,6,3,1529,3,No,15574000,-2250000,15574000,8056000,5,2,467,2,Yes,30584000,-26446000,30584000,10001000,11,5,902,5,Yes,8723000,116000,8723000,116000,5,2,165,2,No,16779000,2259000,16779000,3139000,9,4,317,4,Yes,39911000,1223000,39911000,2339000,12,5,1300,5,No,9814000,-420000,9814000,148000,5,2,186,2,No,3998000,847000,3998000,2015000,2,1,76,1,No,30788000,659000,30788000,886000,10,4,1003,4,No,11050000,489000,11050000,2144000,6,3,209,3,No,7188000,127000,7188000,127000,2,1,221,1,No,41051000,-1014000,41051000,0,13,6,1338,6
,50,Vermont                                                                                                                                                                                                                                                        ,Yes,7561000,404000,7561000,557000,2,3,210,3,No,733000,74000,733000,74000,0,0.00,26,0.00,Yes,11750000,299000,11750000,314000,2,3,459,3,No,2676000,-646000,2676000,2679000,1,1,73,1,No,9986000,-8452000,9986000,3306000,3,4,268,4,No,1540000,126000,1540000,126000,1,1,26,1,No,11105000,778000,11105000,1804000,5,7,188,7,No,14654000,358000,14654000,606000,4,6,436,6,No,1733000,-253000,1733000,150000,1,1,29,1,No,706000,768000,706000,1598000,0,0,12,0,No,11304000,244000,11304000,295000,3,4,336,4,No,1951000,391000,1951000,1568000,1,1,33,1,No,4386000,99000,4386000,99000,1,1,123,1,No,15072000,-226000,15072000,0,4,6,448,6
,51,Virginia                                                                                                                                                                                                                                                       ,Yes,61917000,3746000,61917000,5726000,18,2,1621,2,No,9213000,401000,9213000,401000,2,0.27,309,0.27,Yes,175152000,1406000,175152000,1448000,25,3,6575,3,Yes,46566000,-3309000,46566000,13727000,14,2,1197,2,No,100155000,-43308000,100155000,16942000,31,4,2528,4,Yes,16077000,130000,16077000,130000,7,1,252,1,No,92615000,4421000,92615000,5255000,40,5,1451,5,No,145130000,4092000,145130000,7301000,39,5,4086,5,No,18086000,-4707000,18086000,452000,8,1,283,1,No,7368000,8340000,7368000,18959000,3,0,115,0,No,111957000,1821000,111957000,2474000,30,4,3152,4,Yes,20364000,3520000,20364000,18573000,9,1,319,1,No,33164000,1190000,33164000,1190000,10,1,875,1,No,149276000,-2915000,149276000,0,40,5,4203,5
